seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
31,S100PO1R,E06748,,2010001049257,大和アセットマネジメント株式会社,G03800,030,07A000,120,2022-03-16,2022-09-15,2022-12-08 09:04,有価証券報告書（内国投資信託受益証券）－第38期(令和4年3月16日－令和4年9月15日),,,,,,,0,0,0,1,1,1,0
32,S100PBL5,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G09018,030,07A000,120,2022-03-15,2022-09-12,2022-12-08 09:04,有価証券報告書（内国投資信託受益証券）－第22期(令和4年3月15日－令和4年9月12日),,,,,,,0,0,0,1,1,1,0
33,S100PBU4,E12430,,8010401072159,日興アセットマネジメント株式会社,G09162,030,04A000,030,,,2022-12-08 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
34,S100PBL4,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G09018,030,04A000,030,,,2022-12-08 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
35,S100POK4,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13885,030,07A000,120,2021-09-11,2022-09-12,2022-12-08 09:05,有価証券報告書（内国投資信託受益証券）－第2期(令和3年9月11日－令和4年9月12日),,,,,,,0,0,0,1,1,1,0
36,S100PN16,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G10560,030,07A000,120,2021-09-09,2022-09-08,2022-12-08 09:05,有価証券報告書（内国投資信託受益証券）－第8期(令和3年9月9日－令和4年9月8日),,,,,,,0,0,0,1,1,1,0
37,S100PO1U,E06748,,2010001049257,大和アセットマネジメント株式会社,G03800,030,04A000,030,,,2022-12-08 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
38,S100PNVT,E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,G07866,030,07A000,120,2022-03-10,2022-09-09,2022-12-08 09:05,有価証券報告書（内国投資信託受益証券）－第25期(令和4年3月10日－令和4年9月9日),,,,,,,0,0,0,1,1,1,0
39,S100PCAF,E12441,,3010001062358,岡三アセットマネジメント株式会社,G02004,030,995000,180,,,2022-12-08 09:05,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
40,S100PPBD,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G04654,030,995000,180,,,2022-12-08 09:06,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
